Date,GT10US GOVT,GBI-EM Latin America Traded Index Yield    ,GBI-EM Traded Index Yield    
01/10/2008,3.7400,8.29954,7.16996
02/10/2008,3.629,8.31064,7.16221
03/10/2008,3.605,8.31019,7.17482
04/10/2008,,,
05/10/2008,,,
06/10/2008,3.455,8.4315,7.31913
07/10/2008,3.505,8.45913,7.29254
08/10/2008,3.642,8.47858,7.31507
09/10/2008,3.787,8.49811,7.3927
10/10/2008,3.872,8.8134,7.60932
11/10/2008,,,
12/10/2008,,,
13/10/2008,3.98,,
14/10/2008,4.079,8.6878,7.46552
15/10/2008,3.949,8.85049,7.67034
16/10/2008,3.961,9.03117,7.77354
17/10/2008,3.932,9.04381,7.78877
18/10/2008,,,
19/10/2008,,,
20/10/2008,3.843,9.23417,7.86147
21/10/2008,3.741,9.5341,8.06465
22/10/2008,3.596,10.07117,8.4534
23/10/2008,3.676,10.32795,8.53889
24/10/2008,3.687,10.66614,8.58366
25/10/2008,,,
26/10/2008,,,
27/10/2008,3.689,10.08287,8.47262
28/10/2008,3.836,9.40369,8.15264
29/10/2008,3.857,9.19864,7.93847
30/10/2008,3.966,8.90232,7.84219
31/10/2008,3.955,8.95095,7.8448
01/11/2008,,8.85286,7.27247
02/11/2008,,,
03/11/2008,3.916,8.92072,7.74905
04/11/2008,3.727,8.74099,7.59954
05/11/2008,3.704,8.86487,7.54052
06/11/2008,3.69,8.96087,7.5358
07/11/2008,3.795,8.86275,7.55078
08/11/2008,,,
09/11/2008,,,
10/11/2008,3.745,8.89002,7.52311
11/11/2008,3.745,,
12/11/2008,3.648,9.30146,7.75456
13/11/2008,3.857,9.44956,7.76626
14/11/2008,3.737,9.40625,7.71237
15/11/2008,,,
16/11/2008,,,
17/11/2008,3.65,9.38907,7.6926
18/11/2008,3.531,9.44846,7.74009
19/11/2008,3.322,9.38127,7.70391
20/11/2008,3.015,9.44538,7.69935
21/11/2008,3.199,9.41585,7.60938
22/11/2008,,,
23/11/2008,,,
24/11/2008,3.325,9.2433,7.48606
25/11/2008,3.11,9.13564,7.32031
26/11/2008,2.98,9.02043,7.27094
27/11/2008,2.98,,
28/11/2008,2.922,8.95371,7.20347
29/11/2008,,,
30/11/2008,,,
01/12/2008,2.733,,
02/12/2008,2.674,8.70336,7.17441
03/12/2008,2.66,8.6482,7.0711
04/12/2008,2.553,8.61289,6.91427
05/12/2008,2.705,8.44902,6.85928
06/12/2008,,,
07/12/2008,,,
08/12/2008,2.74,8.33249,6.79575
09/12/2008,2.642,8.33097,6.75731
10/12/2008,2.684,8.30225,6.7531
11/12/2008,2.604,8.16667,6.6866
12/12/2008,2.572,8.16957,6.66165
13/12/2008,,,
14/12/2008,,,
15/12/2008,2.514,8.14606,6.62891
16/12/2008,2.257,8.07352,6.59671
17/12/2008,2.193,8.01842,6.46039
18/12/2008,2.08,7.84514,6.41653
19/12/2008,2.125,7.90165,6.42498
20/12/2008,,,
21/12/2008,,,
22/12/2008,2.172,7.92031,6.41672
23/12/2008,2.175,7.98553,6.42791
24/12/2008,2.184,7.98055,6.44322
25/12/2008,2.183,,
26/12/2008,2.133,7.97929,6.43788
27/12/2008,,,
28/12/2008,,,
29/12/2008,2.1,7.99034,6.42072
30/12/2008,2.055,7.93931,6.39319
31/12/2008,2.214,7.92279,6.39644
01/01/2009,2.213,,
02/01/2009,2.371,7.87987,6.31202
03/01/2009,,,
04/01/2009,,,
05/01/2009,2.483,7.74474,6.26618
06/01/2009,2.447,7.75022,6.28536
07/01/2009,2.496,7.6774,6.34578
08/01/2009,2.441,7.63675,6.38128
09/01/2009,2.392,7.47505,6.31421
10/01/2009,,,
11/01/2009,,,
12/01/2009,2.306,7.49949,6.34541
13/01/2009,2.294,7.54064,6.35755
14/01/2009,2.201,7.56355,6.37902
15/01/2009,2.207,7.5488,6.37628
16/01/2009,2.32,7.52504,6.30983
17/01/2009,,,
18/01/2009,,,
19/01/2009,2.32,,
20/01/2009,2.379,7.54303,6.32328
21/01/2009,2.538,7.46968,6.30551
22/01/2009,2.594,7.40807,6.29773
23/01/2009,2.619,7.42767,6.31667
24/01/2009,,,
25/01/2009,,,
26/01/2009,2.643,7.4576,6.31881
27/01/2009,2.529,7.49454,6.32005
28/01/2009,2.668,7.53404,6.32896
29/01/2009,2.86,7.59869,6.41235
30/01/2009,2.842,7.67204,6.4401
31/01/2009,,,
01/02/2009,,,
02/02/2009,2.724,7.90053,6.51011
03/02/2009,2.886,8.01281,6.55209
