Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
01/10/2008,13.66,7.227,#N/A,12.063,4.365,2.903,8.199,8.452,13.148,5.857,#N/A,8.3,8.533,#N/A,5.801,3.203,8.824,2.224,4.302,7.699
02/10/2008,13.43,7.216,#N/A,11.847,4.27,2.922,8.295,#N/A,13.148,5.837,4.571,8.31,8.583,7.873,5.795,3.121,8.925,2.165,4.253,7.771
03/10/2008,13.89,7.204,#N/A,11.73,4.223,2.851,8.42,8.29,13.148,#N/A,4.497,8.33,8.676,7.925,5.801,3.117,8.918,2.163,4.281,7.837
06/10/2008,14.48,7.067,3.704,12.139,4.182,2.736,8.749,8.087,13.087,5.89,4.422,8.47,8.697,7.869,5.817,2.939,8.919,2.164,4.322,7.991
07/10/2008,15.02,7.066,3.685,12.139,4.177,#N/A,8.826,8.047,#N/A,5.754,4.37,8.49,8.885,7.938,5.85,2.987,8.776,2.176,4.329,8.01
08/10/2008,#N/A,6.898,3.678,12.393,4.136,2.449,9.21,8.058,14.56,5.721,4.317,8.54,8.97,8.012,5.866,2.942,8.798,#N/A,4.398,8.584
09/10/2008,15.22,6.854,3.263,12.516,4.176,2.59,9.724,#N/A,15.481,5.444,4.195,8.53,9.078,8.098,5.953,2.944,8.851,#N/A,4.375,8.677
10/10/2008,15.09,6.776,3.042,11.247,4.166,2.55,10.684,7.777,15.418,5.443,4.205,8.94,9.229,8.221,6.253,3.08,8.995,#N/A,4.433,10.07
14/10/2008,15.04,6.711,3.144,12.665,4.165,2.707,9.597,7.902,14.446,5.504,4.272,8.74,9.407,8.117,6.155,3.137,8.998,2.176,4.381,9.3
15/10/2008,#N/A,6.646,3.107,13.076,4.165,2.745,10.274,7.929,14.365,5.487,4.187,8.94,9.483,8.09,6.282,3.077,9.022,2.079,4.335,9.612
16/10/2008,15.24,6.572,3.109,13.119,4.165,2.73,10.168,7.698,15.316,5.645,4.123,9.21,9.622,8.233,6.432,2.986,9.358,2.069,4.306,9.951
17/10/2008,15.26,6.493,3.101,12.925,4.643,2.736,10.11,7.696,15.676,5.53,4.102,9.18,9.615,8.235,6.506,2.902,9.298,2.069,4.268,10.334
20/10/2008,15.66,6.521,3.149,12.938,#N/A,2.639,10.285,7.581,15.629,5.494,4.088,9.48,9.55,8.355,6.513,2.917,9.343,2.081,4.011,10.351
21/10/2008,15.89,6.556,3.144,12.839,4.164,2.559,10.556,#N/A,15.477,5.538,4.107,9.79,9.601,8.436,6.702,2.859,9.455,2.083,3.957,10.857
22/10/2008,17.42,6.541,3.198,12.851,4.658,2.387,10.756,7.571,15.492,5.412,4.087,10.6,9.641,8.564,7.415,2.791,9.891,2.065,3.933,11.077
23/10/2008,17.03,6.674,3.143,13.399,5.142,2.404,#N/A,7.557,15.814,5.429,4.116,10.87,9.722,10.31,7.478,2.866,9.787,2.024,#N/A,12.982
24/10/2008,17.91,6.848,3.147,11.301,5.204,2.407,#N/A,7.774,16.887,5.47,4.133,10.9,9.822,10.515,6.998,2.834,9.676,1.973,3.999,13.561
27/10/2008,#N/A,6.845,3.13,#N/A,5.135,2.484,11.055,7.593,20.905,5.215,#N/A,10.26,9.838,10.802,7.087,2.834,9.523,1.959,4.001,13.789
28/10/2008,17.34,6.787,3.1,13.8,5.258,2.488,10.731,#N/A,20.906,5.26,4.159,9.36,10.045,10.913,6.718,2.974,9.36,1.982,3.957,13.065
29/10/2008,16.31,6.749,3.089,13.813,4.941,2.423,10.567,7.523,19.297,5.5,4.194,9.13,10.004,10.21,6.479,3.051,9.114,1.95,3.89,12.297
30/10/2008,#N/A,6.726,3.034,13.192,5.259,2.374,9.711,#N/A,18.991,5.497,4.225,8.73,9.964,10.073,6.586,3.044,9.068,1.986,3.822,10.823
31/10/2008,17.33,6.746,3.064,13.2,4.92,2.378,10.236,7.448,17.257,5.522,4.304,8.85,9.525,9.477,6.603,2.947,9.104,1.98,3.771,10.738
03/11/2008,17.33,6.719,3.076,13.213,4.894,2.407,9.957,7.563,17.213,5.55,4.274,8.92,9.249,9.356,6.557,2.99,8.984,1.989,3.746,10.742
04/11/2008,17.33,6.675,3.061,13.213,4.894,2.359,9.405,7.601,16.581,5.504,4.233,8.78,8.349,9.361,6.521,2.915,8.853,1.974,3.77,9.421
05/11/2008,17.32,6.678,3.053,12.77,4.814,2.231,9.084,7.708,16.132,5.435,4.192,8.9,8.35,9.236,6.394,2.797,8.698,1.949,3.785,9.611
06/11/2008,17.41,6.683,3.043,12.89,4.533,2.181,9.072,7.705,15.52,5.367,4.182,8.94,8.432,9.244,6.294,2.571,8.63,1.938,3.821,9.78
07/11/2008,#N/A,6.69,2.969,12.902,4.612,2.154,9.296,7.703,15.453,5.424,4.148,8.92,8.316,9.581,6.348,2.376,8.634,1.941,3.894,9.675
10/11/2008,16.93,6.714,2.961,12.782,4.543,2.157,9.547,7.714,15.447,5.63,4.145,8.96,8.261,8.669,6.31,2.367,8.548,1.819,3.853,9.498
12/11/2008,16.9,6.732,2.886,12.9,4.533,2.011,10.211,7.646,15.051,5.58,4.121,9.44,8.61,8.965,6.421,2.507,8.853,1.724,3.815,10.406
13/11/2008,16.8,6.613,2.879,12.821,4.59,1.966,9.947,#N/A,15.095,5.868,4.105,9.69,8.779,9.156,6.455,2.488,8.936,1.73,3.77,10.151
14/11/2008,16.7,6.447,2.908,12.643,4.566,1.669,9.505,7.455,15.921,6.097,4.103,9.67,8.689,9.137,6.367,2.524,8.824,1.688,3.776,10.254
17/11/2008,16.7,6.365,2.991,12.654,4.486,1.618,9.534,7.502,16.097,5.947,4.09,#N/A,8.73,8.837,6.363,2.497,8.699,1.662,3.831,10.674
18/11/2008,16.3,6.359,2.936,12.69,4.593,1.525,9.589,7.472,15.835,5.974,4.072,9.81,8.584,9.117,6.385,2.512,8.729,1.7,3.848,10.703
19/11/2008,#N/A,6.375,2.967,12.73,4.4,1.481,9.738,7.361,16.141,5.933,4.073,9.65,8.599,9.24,6.415,2.455,8.654,1.631,3.85,10.717
20/11/2008,#N/A,6.368,2.93,12.705,4.531,1.414,9.721,7.246,17.029,5.888,4.066,9.78,8.673,9.319,6.452,2.38,8.442,1.514,3.782,11.089
21/11/2008,17.25,6.339,3.011,12.645,4.397,1.361,9.543,7.184,17.096,5.867,4,9.65,8.673,9.683,6.401,2.316,8.282,1.431,3.688,10.715
24/11/2008,17.22,6.339,3.028,12.581,4.292,1.572,9.284,7.145,17.135,5.856,3.975,9.42,8.474,9.229,6.217,2.27,8.153,1.503,3.736,10.587
25/11/2008,17.24,6.284,3.089,12.477,4.294,1.674,9.098,7.197,16.899,5.914,3.713,9.27,8.224,9.325,6.049,2.32,8.031,1.596,3.689,9.902
26/11/2008,16.32,6.302,3.137,12.377,4.269,1.585,9.078,7.112,16.782,5.785,3.703,9.15,8.124,9.458,5.959,2.284,8.254,1.651,3.709,9.827
28/11/2008,16.94,6.298,2.94,12.294,4.306,1.672,8.697,7.075,15.55,5.755,3.697,9.1,8.174,9.452,5.886,2.284,8.353,1.488,3.833,9.752
02/12/2008,15.52,6.23,3.011,12.203,4.295,1.751,8.964,7.016,15.942,5.514,3.614,8.9,8.114,9.442,5.92,2.279,8.237,1.45,3.48,9.888
03/12/2008,15.44,6.186,2.955,12.01,4.466,1.745,8.748,6.782,15.521,5.322,3.581,8.84,7.754,9.421,5.917,2.237,8.204,1.463,3.257,9.801
04/12/2008,15.41,6.217,2.919,11.926,4.26,1.782,8.557,6.807,14.459,5.378,3.52,8.8,7.768,9.444,5.829,2.162,8.194,1.45,2.892,9.722
05/12/2008,15,6.171,2.898,11.948,4.259,1.818,8.557,6.754,13.854,5.232,3.49,8.56,7.838,9.108,5.792,2.103,8.176,1.429,#N/A,9.632
08/12/2008,14.81,6.186,2.877,11.958,#N/A,1.863,8.565,6.692,#N/A,5.241,#N/A,8.44,7.905,8.952,5.652,2.103,8.171,1.509,2.939,9.506
09/12/2008,15.32,6.173,2.957,12.28,4.272,#N/A,8.298,#N/A,12.933,5.209,3.497,8.44,7.849,8.429,5.602,2.121,8.098,1.492,2.926,9.529
10/12/2008,14.6,6.154,2.957,11.607,4.254,1.67,8.236,6.614,13.152,5.185,3.507,8.36,7.817,8.644,5.728,2.107,7.976,1.476,#N/A,9.303
11/12/2008,15.4,6.136,2.956,11.3,4.183,1.63,7.929,6.467,13.096,4.989,3.492,8.23,7.885,8.498,5.643,2.105,7.913,1.455,2.95,9.288
12/12/2008,15.4,6.108,2.904,11.221,4.213,1.567,8.031,6.157,13.061,4.834,3.421,#N/A,#N/A,8.89,5.639,1.993,7.753,1.439,2.894,9.178
15/12/2008,15.31,6.123,2.879,11.081,4.284,1.57,8.246,6.156,13.069,4.795,3.44,8.19,7.79,8.248,5.64,1.983,7.512,1.46,2.822,8.96
16/12/2008,15.57,6.021,2.869,10.95,4.284,1.536,8.196,6.012,13.129,4.739,3.396,8.08,7.765,8.181,5.676,1.976,7.506,1.432,2.688,8.944
17/12/2008,14.88,5.879,2.8,10.97,4.187,1.364,8.144,5.863,11.664,4.651,3.272,7.75,7.735,8.087,5.616,1.938,7.241,1.337,2.442,8.001
18/12/2008,14.34,5.906,2.74,10.98,4.17,1.34,7.911,5.497,11.503,4.676,3.222,7.83,7.715,8.012,5.552,2.032,7.147,1.354,2.497,7.64
19/12/2008,14.18,5.942,2.68,10.747,4.166,1.313,7.911,5.512,11.505,4.575,3.217,7.88,7.69,7.923,5.551,2.055,7.208,1.418,2.615,7.517
22/12/2008,14.08,5.958,2.683,10.54,4.163,1.312,8.245,5.614,11.576,4.566,3.225,7.92,7.69,7.935,5.532,2.076,7.246,1.44,2.593,7.502
23/12/2008,13.77,5.949,2.687,10.55,4.157,1.292,8.245,5.679,11.935,4.571,3.208,7.96,7.655,7.714,5.44,2.196,7.364,1.43,2.576,7.494
24/12/2008,#N/A,5.965,2.703,#N/A,4.157,1.281,7.737,5.593,11.936,4.501,3.202,7.96,7.721,7.437,5.376,2.189,7.344,1.416,2.659,7.492
26/12/2008,13.73,5.965,2.698,#N/A,4.157,#N/A,7.737,5.564,11.891,4.463,3.214,7.96,#N/A,#N/A,5.376,2.186,7.347,1.392,#N/A,7.486
29/12/2008,13.56,5.961,2.702,#N/A,4.167,1.27,7.738,5.554,11.934,4.393,#N/A,7.97,7.585,#N/A,5.368,2.21,7.368,#N/A,#N/A,7.46
30/12/2008,12.56,5.897,2.713,#N/A,4.156,1.222,7.739,5.43,11.883,4.201,3.209,7.94,7.651,#N/A,5.393,2.088,7.302,1.403,#N/A,7.448
31/12/2008,#N/A,5.921,2.711,#N/A,4.166,1.184,8.282,5.259,11.864,4.223,3.199,7.92,#N/A,#N/A,5.365,2.038,7.314,#N/A,#N/A,7.428
02/01/2009,13.29,5.895,#N/A,#N/A,4.162,1.233,8.277,#N/A,11.836,4.259,3.096,7.82,#N/A,#N/A,5.342,2.121,7.316,#N/A,#N/A,7.369
05/01/2009,12.95,5.72,2.711,#N/A,4.154,1.305,8.258,#N/A,11.341,4.247,3.12,7.67,7.593,7.454,5.277,2.201,7.4,1.427,2.497,7.303
06/01/2009,12.79,5.675,2.706,11.486,4.154,1.361,8.327,#N/A,11.198,4.226,3.22,7.7,7.46,7.435,5.402,2.333,7.496,1.623,#N/A,7.171
07/01/2009,13.06,5.747,2.683,10.22,4.16,1.469,8.38,6.152,11.185,4.334,3.234,7.63,7.268,7.339,5.345,2.348,7.677,1.579,#N/A,7.376
08/01/2009,13.15,5.735,2.684,10.229,4.166,1.374,8.752,#N/A,11.549,4.188,3.249,7.59,7.31,7.297,5.42,2.276,7.716,1.446,#N/A,7.608
09/01/2009,12.69,5.68,2.652,#N/A,4.119,1.335,8.763,6.247,11.911,4.368,3.201,7.36,7.23,7.319,5.353,2.175,7.615,1.445,2.965,7.61
12/01/2009,11.82,5.727,2.662,#N/A,4.119,1.296,8.82,6.246,11.874,4.391,3.203,7.43,7.183,7.319,5.251,2.128,7.801,1.45,#N/A,7.661
13/01/2009,12.55,5.72,2.696,#N/A,4.064,1.29,9.208,5.996,11.922,4.384,3.21,7.45,7.2,7.308,5.218,1.957,7.747,1.493,3.182,7.772
14/01/2009,12.96,5.63,2.791,#N/A,4.109,1.308,9.097,6.06,12.258,4.274,3.205,7.5,7.213,7.292,5.141,1.955,7.992,1.456,#N/A,7.815
15/01/2009,12.96,5.517,2.912,10.039,3.937,1.323,8.939,6.031,12.213,4.463,3.187,7.45,7.289,7.319,5.198,1.896,7.897,1.436,#N/A,8.069
16/01/2009,12.96,5.39,#N/A,10.024,3.974,1.374,8.711,6.09,12.163,4.531,3.192,7.47,7.337,7.375,5.341,1.966,7.825,1.453,3.375,7.91
20/01/2009,12.68,5.462,3.099,10.048,3.982,1.348,8.62,5.753,12.081,4.508,3.126,7.49,7.297,7.485,5.313,1.886,7.934,1.507,3.319,7.912
21/01/2009,12.68,5.48,3.092,9.996,3.959,1.36,8.365,6.002,12.208,4.505,3.088,7.41,7.31,7.481,5.401,1.719,7.856,1.52,3.37,7.935
22/01/2009,12.01,5.466,2.993,9.832,4.104,1.382,8.537,6.007,12.112,4.48,2.928,7.31,7.323,7.485,5.648,1.814,7.802,#N/A,3.35,7.856
