Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
01/10/2008,1.9176,559.45,6.8451,2137.85,17.523,7.7684,172.87,46.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02/10/2008,2.0206,569.38,6.8451,2198.09,17.937,7.7732,177.62,#N/A,9478,1223.55,3.4475,11.1956,2.9815,46.925,2.4816,1.4504,8.5163,32.152,34.09,1.3168
03/10/2008,2.044,570.86,6.8473,2147.5,18.016,7.7699,178.62,47.0625,#N/A,1230.05,3.4685,11.2554,3.0093,47.115,2.4703,1.4503,8.4891,32.19,34.135,1.311
06/10/2008,2.179,587.88,6.8429,2253.15,18.3435,7.7657,184.02,47.8075,9599,1268.55,3.4885,11.805,3.048,47.425,2.5574,1.4657,8.8558,32.348,34.43,1.3746
07/10/2008,2.311,594.84,6.8171,2273.15,18.1085,7.771,184.38,47.925,9555,1328.3,3.4935,12.3146,3.115,47.395,2.5287,1.4674,8.9621,32.372,34.46,1.3873
08/10/2008,2.3342,614.77,6.8174,2333.59,18.0625,7.7644,184.57,48,9688,1395.5,3.498,12.3225,#N/A,47.74,2.5337,1.4683,9.185,32.46,34.355,1.4015
09/10/2008,2.2826,611.17,6.8203,2246.31,18.2525,7.7615,194.16,#N/A,9620,1381.7,3.497,13.2194,3.0725,47.395,2.6357,1.4748,9.37,32.44,34.36,1.4275
10/10/2008,2.313,638.25,6.836,2311.65,18.548,7.7631,193.62,48.47,9865,1307.6,3.5083,13.093,3.07,47.67,2.6832,1.4819,9.4694,32.44,34.36,1.429
14/10/2008,2.0963,606.58,6.8338,2251.75,18.0525,7.7574,186.32,48.08,9765,1207.25,3.4985,12.3135,3.0356,47.187,2.5511,1.4635,9.119,32.396,34.05,1.3839
15/10/2008,2.2265,628.16,6.8319,2294.5,18.435,7.7572,199.56,48.53,9818,1238.68,3.514,13.145,3,47.55,2.6748,1.4773,10.6475,32.404,34.18,1.467
16/10/2008,2.1335,627.02,6.8299,2290.09,18.5575,7.7563,198.88,48.845,9908,1372.5,3.5265,12.8343,3.0642,48.095,2.6498,1.4784,10.14,32.54,34.305,1.5035
17/10/2008,2.119,617.51,6.8332,2264.5,18.579,7.7557,199.63,48.8825,9808,1333.9,3.527,12.876,3.056,48.015,2.6509,1.4794,10.0126,32.571,34.21,1.495
20/10/2008,2.1183,612.75,6.8299,2249.2,18.8525,7.7558,202.8,49.015,9759,1315,3.522,12.9901,3.0623,48.01,2.6786,1.4763,10.1875,32.582,34.29,1.5108
21/10/2008,2.2386,627.93,6.8338,2298.7,19.582,7.753,213.07,49.0975,9845,1320.73,3.527,13.2366,3.0705,48.28,2.8206,1.4836,10.652,32.713,34.38,1.591
22/10/2008,2.379,642.49,6.8342,2364,20.3755,7.7532,217.48,49.295,9895,1362.93,3.546,13.879,3.0965,48.742,2.9654,1.4998,11.565,32.983,34.51,1.7096
23/10/2008,2.2608,648.68,6.8356,2361.75,19.445,7.7543,215.13,49.82,9945,1408.65,3.572,13.417,3.0955,48.75,3.0023,1.5021,11.03,33.342,34.537,1.6548
24/10/2008,2.3075,670.69,6.8438,2378.75,19.8075,7.7533,217.75,49.9825,10195,1421.5,3.5815,13.3842,3.1075,48.968,3.028,1.508,11.175,33.457,34.66,1.6912
27/10/2008,2.2506,676.25,6.8521,2393.41,19.7658,7.7539,217.01,49.87,10663,1442.75,3.5863,13.5222,3.108,49.386,3.0855,1.5113,10.99,33.512,34.78,1.63
28/10/2008,2.161,675.35,6.8386,2404.75,19.1,7.7516,205.4,#N/A,11000,1467.85,3.581,13.0405,3.1275,49.115,2.8899,1.487,10.285,33.474,34.885,1.535
