Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
01/10/2008,25881.52821,4.97449,#N/A,4.34414,70.67742,#N/A,111.09861,106.23247,#N/A,1.2049,#N/A,2292.06091,3784.19786,#N/A,15534.45396,#N/A,1254.83738,179.22917,17.51267,#N/A
02/10/2008,22908.7532,4.66261,#N/A,4.19596,68.3097,2343.62139,107.35796,#N/A,#N/A,1.16003,#N/A,2148.88695,3588.05921,55.74165,14943.58866,4.33402,1194.13951,176.83212,17.55846,#N/A
03/10/2008,22292.0983,4.59533,#N/A,4.28479,67.05627,2275.08299,107.47273,101.36074,#N/A,#N/A,1.24009,2074.00357,3595.62982,54.42074,14926.00207,4.27516,1553.6473,179.05301,17.2706,26671.55538
06/10/2008,19372.71722,4.15023,333.57404,3.88786,60.14123,2163.39783,97.25927,93.66785,0.17201,1.04251,1.18038,1848.11153,3200.84775,52.16048,13520.33865,4.05231,1429.80238,169.51047,16.02672,22903.48179
07/10/2008,17798.00983,3.95952,332.50602,3.8259,60.00055,#N/A,95.14433,92.25634,0.16934,1.03508,1.20344,1723.36246,3017.66555,50.96048,13538.4209,4.13172,1734.83559,170.93626,15.30275,22854.35916
08/10/2008,15769.19958,3.61453,322.24164,3.60434,57.67231,1986.9095,87.09844,88.59229,0.15035,0.90465,1.15688,1589.4796,#N/A,48.52271,13123.24221,3.69916,1698.06735,160.49322,14.33722,21552.47934
09/10/2008,17071.96167,3.59438,319.22728,3.65768,57.3496,2053.93247,78.24137,#N/A,#N/A,0.94414,1.16876,1633.96615,2663.37373,48.4531,13018.32132,3.78166,1351.28309,158.40414,14.5706,22015.3358
10/10/2008,15526.28693,3.33243,307.43173,3.24611,48.00756,1908.11637,75.8887,81.20318,#N/A,0.95545,1.09134,1538.33375,2483.77205,43.95139,11704.71205,3.62006,2142.29017,#N/A,13.14984,19924.43714
14/10/2008,20157.61383,4.00286,310.00937,3.64103,60.26961,2169.68885,88.72928,88.50068,0.15877,1.1505,1.14466,1797.82022,2997.05238,48.19097,12881.28813,3.99945,1957.95011,163.31975,14.71209,22162.97721
15/10/2008,17091.8884,3.87319,306.65092,3.33977,54.46465,2062.59347,73.93242,83.13481,0.15506,1.08227,1.11032,1680.08108,2714.65092,47.06002,11869.67126,3.99783,1494.23021,161.52278,14.12438,20554.0733
16/10/2008,16705.65634,3.85402,293.15917,3.22933,50.35547,1963.98664,66.13082,81.13862,0.14657,0.90228,1.06959,1556.92007,2584.30978,44.06,11242.45918,3.73668,1532.42641,155.60914,13.94018,18128.54516
17/10/2008,17382.56441,3.95776,296.318,3.35449,45.28553,1876.82438,65.64125,77.15414,0.14275,0.9156,1.03857,1603.85551,2585.45448,43.75933,10847.0378,3.59148,1321.20942,152.25292,13.76691,17295.20658
20/10/2008,18688.02565,4.15553,303.57619,3.41838,45.65361,1975.91329,62.4998,78.13784,0.14538,0.91835,1.04108,1624.95102,2671.45386,42.82944,10662.679,3.69268,764.68446,151.28344,13.90525,17630.7971
21/10/2008,17405.99644,4.00607,301.03707,3.33176,45.41456,1939.97008,57.71543,81.01307,0.14474,0.87885,1.06795,1531.11909,2558.49193,43.57225,10370.89428,3.61714,994.34616,150.50914,13.92844,16835.69584
22/10/2008,14750.67529,3.72141,291.35848,3.09742,42.26537,1840.25798,55.00637,76.94478,0.13867,0.79306,1.05283,1384.24142,2310.38951,42.70577,9263.11262,3.45333,947.20584,146.68446,13.47155,15123.80924
